City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Port Hedland,AU,78.85,light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
167,Monrovia,LR,79.61,overcast clouds,6.3005,-10.7969,Sunset Inn
168,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
170,Moerai,PF,80.42,overcast clouds,-22.4333,-151.3333,Le Manotel
174,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
178,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
179,Santarem,BR,75.33,scattered clouds,-2.4431,-54.7083,Ecotur Lodge
182,Gorontalo,ID,88.48,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
188,Faanui,PF,81.23,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
198,Vao,NC,80.67,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
201,Nhulunbuy,AU,86.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
204,Sainte-Suzanne,RE,79.02,light rain,-20.9061,55.6089,Gites Ango
210,Kieta,PG,87.06,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
212,Sao Joao Da Barra,BR,76.62,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
213,Cockburn Town,TC,75.16,few clouds,21.4612,-71.1419,Osprey Beach Hotel
223,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
240,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
241,Padang,ID,78.85,moderate rain,-0.9492,100.3543,Mercure Padang
245,Broken Hill,AU,80.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
263,Codrington,AU,83.23,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
268,Yaan,NG,75.56,clear sky,7.3833,8.5667,
271,Ahuimanu,US,77.45,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
278,Karratha,AU,89.65,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
280,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
285,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
287,Maxixe,MZ,75.72,broken clouds,-23.8597,35.3472,Oceano
292,Bonthe,SL,77.09,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
303,Acapulco,MX,78.24,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
304,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,Hotel Flamingo
314,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
325,Lekoni,GA,76.26,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
328,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
330,Pedernales,DO,75.97,few clouds,18.0384,-71.744,Hotel Costa Marina
335,Omboue,GA,77.22,broken clouds,-1.5746,9.2618,Hotel Olako
338,The Valley,AI,77.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
346,Saint-Joseph,RE,77.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
347,Tondano,ID,77.09,overcast clouds,1.3038,124.9112,Villa Bella
351,Bubaque,GW,76.87,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
355,Lorengau,PG,83.32,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
359,Beruwala,LK,75.88,overcast clouds,6.4788,79.9828,The Palms Hotel
365,Waingapu,ID,86.0,few clouds,-9.6567,120.2641,Pondok Wisata Elim
369,Colac,AU,77.16,clear sky,-38.3333,143.5833,Otway Gate Motel
373,Port Blair,IN,78.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
380,Sola,VU,82.81,light rain,-13.8833,167.55,Leumerus Bungalows
384,Soure,BR,77.77,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
394,Bundaberg,AU,75.49,broken clouds,-24.85,152.35,Takalvan Motel
399,Santa Marta,CO,82.45,few clouds,11.2408,-74.199,Casa de Isabella
404,Morant Bay,JM,76.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
411,Kahului,US,79.86,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
412,Pathein,MM,75.13,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
418,Iquitos,PE,77.04,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
421,Port Harcourt,NG,77.83,clear sky,4.7774,7.0134,The Riviera Homes Golf Resort
424,Fomboni,KM,82.29,moderate rain,-12.28,43.7425,Auberge les abou
426,Baculin,PH,80.56,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
427,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
436,Sarangani,PH,81.43,broken clouds,5.4033,125.4636,Ballistic Islet
439,Acarau,BR,79.12,clear sky,-2.8856,-40.12,castelo pizzaria
442,Camocim,BR,77.63,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
448,Roebourne,AU,88.83,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
454,Axim,GH,78.19,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
462,Trat,TH,84.25,overcast clouds,12.5,102.5,สวนหนิง-อัศ
465,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
470,Uarini,BR,78.75,overcast clouds,-2.99,-65.1083,
471,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
477,Mount Isa,AU,87.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
481,Palu,ID,88.36,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
487,Cape Coast,GH,79.36,overcast clouds,5.1053,-1.2466,Samrit Hotel
493,Muli,MV,81.45,few clouds,2.9167,73.5667,Medhufushi Island Resort
494,Namatanai,PG,85.93,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
503,Biak,ID,82.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
508,Ipixuna,BR,75.15,heavy intensity rain,-1.7625,-48.8043,Casa da Oscarina
513,Cartagena,CO,78.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
514,Nakhon Thai,TH,81.39,overcast clouds,17.1006,100.8374,Phet resort
