City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Olafsvik,IS,2022-02-07 01:52:40,64.8945,-23.7142,30.72,62,100,31.27,heavy snow
85,Caravelas,BR,2022-02-07 01:52:40,-17.7125,-39.2481,76.68,85,43,6.08,scattered clouds
86,Saskylakh,RU,2022-02-07 01:52:41,71.9167,114.0833,-26.18,100,95,3.74,overcast clouds
87,Carnarvon,AU,2022-02-07 01:49:21,-24.8667,113.6333,77.07,41,7,20.71,clear sky
88,Chuy,UY,2022-02-07 01:52:42,-33.6971,-53.4616,63.37,68,13,16.75,few clouds
89,Mahibadhoo,MV,2022-02-07 01:52:43,3.7833,72.9667,80.98,65,65,10.54,broken clouds
90,Puerto Ayora,EC,2022-02-07 01:52:44,-0.7393,-90.3518,73.54,93,19,3.0,few clouds
91,Bertoua,CM,2022-02-07 01:52:44,4.5833,13.6833,67.1,32,79,3.38,broken clouds
92,Coria,ES,2022-02-07 01:52:44,39.9879,-6.5377,39.45,55,8,3.36,clear sky
93,Wajir,KE,2022-02-07 01:52:45,1.7471,40.0573,75.34,72,99,12.82,overcast clouds
94,Aragarcas,BR,2022-02-07 01:51:16,-15.8975,-52.2508,73.56,95,100,4.18,light rain
95,Darhan,MN,2022-02-07 01:51:26,49.4867,105.9228,-0.89,88,17,5.53,few clouds
96,Homer,US,2022-02-07 01:51:04,59.6425,-151.5483,30.09,86,75,13.8,broken clouds
97,Severo-Kurilsk,RU,2022-02-07 01:52:47,50.6789,156.125,32.16,80,100,9.82,overcast clouds
98,Lakatoro,VU,2022-02-07 01:52:47,-16.0999,167.4164,84.02,74,100,9.15,light rain
99,Souillac,MU,2022-02-07 01:52:47,-20.5167,57.5167,77.38,83,40,6.91,scattered clouds
100,Bengkulu,ID,2022-02-07 01:52:48,-3.8004,102.2655,79.0,80,98,9.51,overcast clouds
101,Tuatapere,NZ,2022-02-07 01:52:48,-46.1333,167.6833,60.82,44,0,6.76,clear sky
102,Kumbo,CM,2022-02-07 01:52:49,6.2,10.6667,59.7,29,0,3.24,clear sky
103,Aklavik,CA,2022-02-07 01:48:00,68.2191,-135.0107,-22.97,93,100,18.95,overcast clouds
104,Kodiak,US,2022-02-07 01:52:50,57.79,-152.4072,36.91,44,100,6.91,overcast clouds
105,Port Elizabeth,ZA,2022-02-07 01:52:50,-33.918,25.5701,69.1,77,0,4.61,clear sky
106,Victoria,HK,2022-02-07 01:52:27,22.2855,114.1577,65.97,90,100,1.01,overcast clouds
107,Henties Bay,NA,2022-02-07 01:52:51,-22.116,14.2845,68.86,84,98,5.06,overcast clouds
108,Garhi Khairo,PK,2022-02-07 01:52:52,28.0606,67.9803,57.02,40,3,5.48,clear sky
109,Provideniya,RU,2022-02-07 01:52:52,64.3833,-173.3,3.31,66,0,8.95,clear sky
110,North Battleford,CA,2022-02-07 01:52:52,52.7834,-108.2847,30.29,86,0,4.61,clear sky
111,Longyearbyen,SJ,2022-02-07 01:52:53,78.2186,15.6401,19.24,68,0,5.75,clear sky
112,Kedrovyy,RU,2022-02-07 01:52:53,56.1667,91.8167,12.61,90,100,4.56,overcast clouds
113,Fortuna,US,2022-02-07 01:52:54,40.5982,-124.1573,54.19,91,0,0.0,clear sky
114,Bud,US,2022-02-07 01:52:54,39.447,-86.1758,30.31,81,99,5.3,overcast clouds
115,Namibe,AO,2022-02-07 01:52:54,-15.1961,12.1522,72.68,69,94,8.48,overcast clouds
116,Sao Felix Do Xingu,BR,2022-02-07 01:52:55,-6.6447,-51.995,72.27,97,95,1.01,overcast clouds
117,Jiayuguan,CN,2022-02-07 01:52:56,39.8167,98.3,12.09,88,100,1.72,overcast clouds
118,Khatanga,RU,2022-02-07 01:51:40,71.9667,102.5,-15.99,98,99,9.55,overcast clouds
119,Dikson,RU,2022-02-07 01:52:56,73.5069,80.5464,-14.06,97,100,15.68,overcast clouds
120,Tilichiki,RU,2022-02-07 01:52:57,60.4667,166.1,-5.12,78,1,9.13,clear sky
121,Portland,US,2022-02-07 01:52:57,45.5234,-122.6762,54.68,78,32,1.01,scattered clouds
122,Firovo,RU,2022-02-07 01:52:58,57.4814,33.7021,27.9,93,96,9.91,overcast clouds
123,Hami,CN,2022-02-07 01:52:58,42.8,93.45,24.66,37,73,5.84,broken clouds
124,Valparaiso,CL,2022-02-07 01:51:34,-33.0393,-71.6273,65.48,81,100,6.91,overcast clouds
125,Prince Rupert,CA,2022-02-07 01:52:59,54.3161,-130.3201,44.69,81,100,14.97,light rain
126,Isangel,VU,2022-02-07 01:52:47,-19.55,169.2667,82.51,94,100,1.14,drizzle
127,Kruisfontein,ZA,2022-02-07 01:52:59,-34.0033,24.7314,66.88,66,0,2.39,clear sky
128,Kaitangata,NZ,2022-02-07 01:50:25,-46.2817,169.8464,59.94,78,78,8.25,broken clouds
129,Upernavik,GL,2022-02-07 01:53:00,72.7868,-56.1549,-16.49,100,100,7.74,overcast clouds
130,Matara,LK,2022-02-07 01:53:01,5.9485,80.5353,77.36,81,100,3.71,overcast clouds
131,Baykit,RU,2022-02-07 01:53:01,61.67,96.37,-11.78,100,50,3.42,scattered clouds
132,Okato,NZ,2022-02-07 01:53:01,-39.2,173.8833,65.68,91,100,8.61,light rain
133,Matane,CA,2022-02-07 01:53:02,48.8286,-67.522,10.15,86,100,11.32,overcast clouds
134,Nosy Varika,MG,2022-02-07 01:53:02,-20.5833,48.5333,75.11,93,100,4.43,overcast clouds
135,Vardo,NO,2022-02-07 01:53:03,70.3705,31.1107,23.2,82,70,20.45,broken clouds
136,Solnechnyy,RU,2022-02-07 01:53:03,50.7214,136.6319,3.76,90,100,2.71,overcast clouds
137,Kormilovka,RU,2022-02-07 01:53:04,55.0026,74.1028,-2.25,90,38,6.89,scattered clouds
138,Santa Fe,AR,2022-02-07 01:51:48,-31.6333,-60.7,61.92,75,0,7.05,clear sky
139,Constitucion,CL,2022-02-07 01:53:00,-35.3333,-72.4167,58.06,83,0,5.97,clear sky
140,Bereda,ES,2022-02-07 01:53:05,43.2686,-7.5406,43.92,98,79,1.9,broken clouds
