City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Cam Ranh,VN,2022-02-07 00:11:20,11.9214,109.1591,71.56,88,40,4.61
138,Clyde River,CA,2022-02-07 00:05:52,70.4692,-68.5914,-37.17,97,82,5.35
139,Broome,US,2022-02-07 00:11:21,42.2506,-75.833,24.91,76,0,1.99
140,Kununurra,AU,2022-02-07 00:11:21,-15.7667,128.7333,76.98,94,75,5.75
141,Port-Gentil,GA,2022-02-07 00:11:21,-0.7193,8.7815,79.68,83,16,11.21
142,Kaberamaido,UG,2022-02-07 00:11:22,1.7389,33.1594,70.61,39,80,5.03
143,Cravo Norte,CO,2022-02-07 00:11:22,6.3017,-70.2041,89.4,36,90,5.91
144,Agadir,MA,2022-02-07 00:06:58,30.4202,-9.5982,63.05,50,4,9.31
145,Upernavik,GL,2022-02-07 00:09:16,72.7868,-56.1549,-15.84,99,100,9.73
146,Anadyr,RU,2022-02-07 00:11:23,64.75,177.4833,-17.52,75,0,8.95
147,Ilulissat,GL,2022-02-07 00:09:36,69.2167,-51.1,1.42,71,20,10.36
148,Terrace,CA,2022-02-07 00:11:24,54.5163,-128.6035,41.43,100,100,2.06
149,Cidreira,BR,2022-02-07 00:11:24,-30.1811,-50.2056,71.47,72,6,10.98
150,Sitka,US,2022-02-07 00:10:18,57.0531,-135.33,44.49,76,100,12.66
151,Wau,SS,2022-02-07 00:11:25,7.7029,27.9953,68.5,22,29,5.19
152,Los Llanos De Aridane,ES,2022-02-07 00:11:25,28.6585,-17.9182,62.35,70,75,20.0
153,Samarai,PG,2022-02-07 00:11:25,-10.6167,150.6667,85.23,66,100,9.62
154,Kudahuvadhoo,MV,2022-02-07 00:11:26,2.6708,72.8944,81.12,65,73,10.94
155,Dillon,US,2022-02-07 00:11:26,34.4166,-79.3712,48.09,49,45,7.14
156,Basoko,CD,2022-02-07 00:11:27,1.2391,23.616,71.35,40,81,0.63
157,Hasaki,JP,2022-02-07 00:11:27,35.7333,140.8333,37.29,40,4,11.74
158,Abu Samrah,SY,2022-02-07 00:11:28,35.3029,37.1841,47.59,94,100,2.48
159,Solnechnyy,RU,2022-02-07 00:11:28,50.7214,136.6319,0.1,95,99,2.42
160,Luganville,VU,2022-02-07 00:07:06,-15.5333,167.1667,86.02,69,100,8.81
161,Fairbanks,US,2022-02-07 00:10:02,64.8378,-147.7164,-1.39,76,100,0.0
162,Xining,CN,2022-02-07 00:11:29,36.6167,101.7667,7.36,93,92,2.77
163,Mahebourg,MU,2022-02-07 00:11:29,-20.4081,57.7,77.25,84,88,10.18
164,Severo-Kurilsk,RU,2022-02-07 00:11:30,50.6789,156.125,31.41,79,100,11.81
165,Bathsheba,BB,2022-02-07 00:11:30,13.2167,-59.5167,79.41,78,75,17.27
166,Ikalamavony,MG,2022-02-07 00:11:31,-21.15,46.5833,66.24,90,97,3.67
167,Aykhal,RU,2022-02-07 00:11:32,66.0,111.5,-13.97,99,100,4.94
168,Bud,US,2022-02-07 00:11:32,39.447,-86.1758,32.02,80,63,5.08
169,Manono,CD,2022-02-07 00:11:32,-7.3,27.4167,67.96,99,100,3.09
170,Porto Velho,BR,2022-02-07 00:11:33,-8.7619,-63.9039,75.25,94,75,0.0
171,Turukhansk,RU,2022-02-07 00:06:59,65.8167,87.9833,-22.74,100,81,3.49
172,Kirakira,SB,2022-02-07 00:11:33,-10.4544,161.9205,84.69,77,98,11.14
173,Hobart,AU,2022-02-07 00:05:23,-42.8794,147.3294,75.02,50,20,1.99
174,Beyneu,KZ,2022-02-07 00:11:34,45.3167,55.2,29.19,80,45,7.72
175,Luderitz,NA,2022-02-07 00:11:36,-26.6481,15.1594,69.35,72,35,7.34
176,Olavarria,AR,2022-02-07 00:12:35,-36.8927,-60.3225,63.01,86,58,7.47
177,Altamira,BR,2022-02-07 00:11:13,-3.2033,-52.2064,73.62,99,100,3.44
178,Camabatela,AO,2022-02-07 00:12:35,-8.1881,15.375,60.44,97,99,2.15
179,Kenai,US,2022-02-07 00:12:36,60.5544,-151.2583,28.49,89,0,4.61
180,Lermontovka,RU,2022-02-07 00:12:36,47.1453,134.3383,1.99,95,99,4.5
181,Pisco,PE,2022-02-07 00:12:37,-13.7,-76.2167,68.02,94,0,6.91
182,Okhotsk,RU,2022-02-07 00:12:37,59.3833,143.3,-3.42,73,97,8.84
183,Kyzyl-Suu,KG,2022-02-07 00:12:37,42.3414,78.0056,25.84,86,100,5.37
184,Nikolskoye,RU,2022-02-07 00:11:03,59.7035,30.7861,35.71,93,100,11.05
185,Nizhniy Kuranakh,RU,2022-02-07 00:12:12,58.8353,125.4869,-13.05,96,73,0.89
186,Laguna,US,2022-02-07 00:02:28,38.421,-121.4238,69.64,43,0,1.01
187,Coquimbo,CL,2022-02-07 00:12:38,-29.9533,-71.3436,65.8,80,16,2.86
188,Fortuna,US,2022-02-07 00:12:39,40.5982,-124.1573,65.43,94,100,5.75
189,Taltal,CL,2022-02-07 00:10:20,-25.4,-70.4833,67.59,73,22,3.51
190,Acapulco,MX,2022-02-07 00:12:39,16.8634,-99.8901,84.02,61,0,10.36
191,Kazachinskoye,RU,2022-02-07 00:12:13,57.6953,93.2761,10.69,95,100,3.56
192,Georgetown,MY,2022-02-07 00:10:28,5.4112,100.3354,76.95,90,20,4.61
193,Padang,ID,2022-02-07 00:12:40,-0.9492,100.3543,71.65,81,100,2.04
194,Puerto Carreno,CO,2022-02-07 00:12:41,6.189,-67.4859,87.49,45,86,3.58
195,Konza,KE,2022-02-07 00:12:41,-1.7426,37.1294,65.84,64,100,4.16
196,Kalianget,ID,2022-02-07 00:08:05,-7.05,113.9333,78.24,89,87,10.11
197,Bambanglipuro,ID,2022-02-07 00:12:42,-7.95,110.2833,77.4,87,100,4.41
198,Omsukchan,RU,2022-02-07 00:12:42,62.5333,155.8,-10.17,73,1,2.04
199,Hanyang,CN,2022-02-07 00:12:43,32.1371,105.5126,31.48,84,75,3.71
